id,name
1,Java Spring Boot Development
2,Software Assurance
3,Cloud Computing
4,Data Analysis and Visualization
5,Mobile App Development
6,Cybersecurity Management
7,Project Management
8,DevOps Engineering
9,Agile Methodologies
10,Logistics and Supply Chain Optimization
11,Human-Computer Interaction
12,Quality Assurance and Testing
13,IT Recruitment and Talent Acquisition
14,Financial Technology (FinTech)
15,Legal Compliance in IT
16,Business Intelligence Solutions
17,Software Sales Consulting
18,E-commerce Platform Development
19,Customer Relationship Management (CRM) Systems
20,IT Event Planning and Coordination
